,LPIPS,mdsi,vsi,ContentLoss,dss,DISTS,ssim,srsim,fsim,gmsd,multi_scale_gmsd,CLIPIQA,haarpsi,StyleLoss,brisque,vif_p,information_weighted_ssim,total_variation,PieAPP,multi_scale_ssim,psnr
Quality,0.1119305348773618,0.07088873252915905,0.01768910344430299,0.00870759447714858,0.008630638794275418,0.0018193320991319254,0.002350466203746594,0.002890689677586122,0.004452747953113833,0.007355344633268148,0.011424880092074149,0.023074660915309162,0.04291214627471717,0.04540303477869373,0.04638016327857233,0.046514158530612436,0.09515034639581112,0.10048941697611197,0.1110764725496434,0.1130422970437536,0.12752413660216091
Authenticity,0.061454155682945155,0.05733942258279357,0.08173326040291297,0.02856336710305328,0.054886632459043454,0.14327117960669603,0.046020268611280044,0.06445928519426875,0.06740695908363244,0.03407773242280643,0.033650496779006105,0.0022785276001542044,0.043289671127146295,0.1068077961237219,0.043991580156531734,0.053641649228457565,0.04309661971750415,0.008244684489813163,0.1471041714696832,0.0387787355884533,0.019551183653060567
Correspondence,0.12222158992989647,0.09852883560443422,0.21525260549392028,0.07787456896396588,0.2306926494997148,0.26181876153212275,0.1068368510024745,0.2127817056719196,0.1562116138879422,0.2182030794133219,0.2268058173066894,0.10695591371051294,0.19522656047040685,0.16659887313582467,0.07881329764108692,0.1318891517308414,0.11031525225262827,0.0023309417482090824,0.18009861977544456,0.10517177439579128,0.09680892992225142
Quality_rank,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0
Authenticity_rank,4.0,18.0,21.0,8.0,17.0,2.0,15.0,19.0,20.0,6.0,7.0,10.0,14.0,3.0,5.0,16.0,13.0,9.0,1.0,12.0,11.0
Correspondence_rank,6.0,7.0,20.0,9.0,21.0,1.0,13.0,19.0,17.0,3.0,2.0,14.0,18.0,5.0,8.0,16.0,15.0,10.0,4.0,12.0,11.0
